test;http://www.openlinksw.com/schemas/virtrdf#;http://www.w3.org/ns/ldp#;urn:activitystreams-owl:map;http://localhost:8890/DAV/;http://www.w3.org/2002/07/owl#;http://ns.inria.fr/indegx#D2KAB_20220126;http://ns.inria.fr/indegx#Experiment_20220316;http://ns.inria.fr/indegx#LOD-Cloud_20220420;http://ns.inria.fr/indegx#D2KAB_20220610;http://ns.inria.fr/indegx#DBpedia_20220610;http://ns.inria.fr/indegx#D2KAB_20220125;http://ns.inria.fr/indegx#D2KAB_20220420;http://ns.inria.fr/indegx#Experiment_20220406;http://ns.inria.fr/indegx#Experiment_20220420;http://ns.inria.fr/indegx#LOD-Cloud_20220406;http://ns.inria.fr/indegx#Web_Semantics;http://ns.inria.fr/indegx;http://ns.inria.fr/indegx#Experiment_20211206;http://prod-dekalog.inria.fr/sparql;http://ns.inria.fr/indegx#LOD-Cloud_20220131;http://ns.inria.fr/indegx#Experiment_20211203;http://ns.inria.fr/indegx#Experiment_20211118;http://ns.inria.fr/indegx#Experiment_20211129;http://ns.inria.fr/indegx#D2KAB_20220701;http://ns.inria.fr/indegx#DBpedia_20220701;b3sonto;b3sifp;urn:rules.skos;http://www.openlinksw.com/schemas/oplweb#;virtrdf-label;virtrdf-url;facets;http://ns.inria.fr/indegx#D2KAB_20220509;http://ns.inria.fr/indegx#Experiment_20220509;http://ns.inria.fr/indegx#LOD-Cloud_20220509;http://ns.inria.fr/indegx#ontology;http://ns.inria.fr/indegx#LOD-Cloud_20220316;http://ns.inria.fr/indegx#D2KAB_20220316
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL11/SPARQLES_SELMIN.ttl;0;0;0;0;0;10;123;0;4;10;9;3;113;111;0;183;1;120;0;92;122;179;120;5;14;0;0;0;0;0;0;0;3;119;248;0;43;3;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sportal/sportalClassPartitionPropertyPartitionTriples.ttl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL10/SPARQLES_SELOPT.ttl;0;0;0;0;0;10;117;0;4;10;8;3;109;109;0;180;1;115;0;88;115;173;107;5;13;0;0;0;0;0;0;0;3;112;245;0;44;3;
http://raw.githubusercontent.com/Wimmics/dekalog/master/rules/extraction/computed/timezone.ttl;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL11/SPARQLES_SELBIND.ttl;0;0;0;0;0;11;121;0;5;9;10;4;109;109;0;178;1;118;0;90;120;177;117;6;12;0;0;0;0;0;0;0;4;117;239;0;44;4;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sportal/sportalDistinctBlankNodes.ttl;0;0;0;0;0;4;45;0;3;3;3;0;0;0;0;70;1;36;0;27;38;37;38;5;6;0;0;0;0;0;0;0;0;0;12;0;15;2;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/extraction/computed/graphListCorese.ttl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/check/basicProvenance.ttl;0;0;0;0;0;0;55;5;0;134;0;0;21;22;5;39;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;26;72;0;15;0;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/check/blankNodeUsage.ttl;0;0;0;0;0;16;64;2;33;10;10;2;26;31;3;53;0;0;0;35;0;0;0;3;1;0;0;0;0;0;0;0;2;29;68;0;10;2;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL10/SPARQLES_SELFILREGEX.ttl;0;0;0;0;0;10;119;0;4;10;10;3;108;109;0;177;1;111;0;89;111;171;110;5;13;0;0;0;0;0;0;0;3;110;239;0;42;3;
